name,category,confidence,page
X1:185226-1(黄),connector,0.95,1
排放故障报警-,alarm,0.95,1
发动机预热指示+,indicator,0.95,1
发动机预热指示,indicator,0.95,1
排放故障报警+,alarm,0.95,1
制动蹄片磨损报警,alarm,0.95,1
机械指针表,instrument,0.95,1
运光灯指示,indicator,0.95,1
上装举升蜂鸣器报警,buzzer,0.95,1
车速表,instrument,0.95,1
电源输出（车速传感器）,circuit_function_name,0.95,1
电源输出（气压传感器）,circuit_function_name,0.95,1
电源（ON档）,circuit_function_name,0.95,1
电源(蓄电池),circuit_function_name,0.95,1
右转向指示,indicator,0.95,1
左转向指示,indicator,0.95,1
燃油表,instrument,0.95,1
指示刻度值(°C),circuit_function_name,0.95,1
驾驶室翻转报警,alarm,0.95,1
水温表,instrument,0.95,1
搭铁（气压传感器）,sensor,0.95,1
电源（仪表照明）,circuit_function_name,0.95,1
250KBPS,can_node,0.95,1
指示刻度值（X0.1MPA),circuit_function_name,0.95,1
搭铁 (仪表）,circuit_function_name,0.95,1
机械式,circuit_function_name,0.95,1
气压表,instrument,0.95,1
X2:185226-2(蓝),connector,0.95,1
LED1~LED3,indicator,0.95,1
LED1~LED4,indicator,0.95,1
LED1,indicator,0.95,1
指示灯点亮状态（绿色）,circuit_function_name,0.95,1
LED1~LED2,indicator,0.95,1
尿素液位值(下行。熄灭),circuit_function_name,0.95,1
尿素液位值（上行，点亮),circuit_function_name,0.95,1
蓄电池充电指示,indicator,0.95,1
冷却液液位报警,alarm,0.95,1
尿素液位,sensor,0.95,1
驻车制动指示,indicator,0.95,1
轮间差速器指示,indicator,0.95,1
安全带未系报警,alarm,0.95,1
发动机故障报警-（黄色),alarm,0.95,1
燃油滤清器堵塞报警,alarm,0.95,1
发动机故障报警+(黄色）,alarm,0.95,1
轴间差速器指示,indicator,0.95,1
ABS1（主车）指示,controller,0.95,1
油水分高报警,alarm,0.95,1
ASR报警,alarm,0.95,1
取力器工作指示,indicator,0.95,1
制动系统故障报警,alarm,0.95,1
空气滤清器堵塞报警,alarm,0.95,1
低速档指示,indicator,0.95,1
车门报警,alarm,0.95,1
STOP放降指示,indicator,0.95,1
燃滤堵塞警报,alarm,0.95,1
空波器堵赛教护,alarm,0.95,1
液晶屏显示内容,circuit_function_name,0.95,1
小计里程,circuit_function_name,0.95,1
里程信息,circuit_function_name,0.95,1
总里程分,circuit_function_name,0.95,1
按键功能,circuit_function_name,0.95,1
按键1,switch,0.95,1
长按按键,switch,0.95,1
点按按键,switch,0.95,1
按键2,switch,0.95,1
辅助制动指示,indicator,0.95,1
取力器指示,indicator,0.95,1
发动机预热,circuit_function_name,0.95,1
ASR指示,indicator,0.95,1
远光指示,indicator,0.95,1
冷却液位报警,alarm,0.95,1
DPF再生状态指示,indicator,0.95,1
DPF碳载量指示,circuit_function_name,0.95,1
尿素液位指示,indicator,0.95,1
油压报警,alarm,0.95,1
尿素液位过低警报,alarm,0.95,1
冷却液温度报警,alarm,0.95,1
ABS1(主车)报警,controller,0.95,1
驾驶员提醒指示,indicator,0.95,1
排放故障报警,alarm,0.95,1
发动机故障指示,indicator,0.95,1
遇航指示,indicator,0.95,1
车门指示指示,indicator,0.95,1
组合仪表总成,module,0.95,1
JF03-26,fuse,0.95,2
F8,fuse,0.95,2
J12,relay,0.95,2
J8辅助功率继电器川4后雾灯继电器JO尿素管路加热继电器,relay,0.95,2
19智能传感器继电器,relay,0.95,2
灯光控制开关近光灯档,switch,0.95,2
车门控制器,controller,0.95,2
暖风继电器,relay,0.95,2
J2刮水继电器,relay,0.95,2
J3雾灯继电器,relay,0.95,2
J5远光继电器,relay,0.95,2
J6尾灯继电器,relay,0.95,2
儿刮水继电器,relay,0.95,2
川空调压缩机继电器,relay,0.95,2
J3各用继电器,relay,0.95,2
J4近光继电器,relay,0.95,2
7喇叭继电器,relay,0.95,2
共40路保险丝14个继电器,relay,0.95,2
宝ECU输出供电21,controller,0.95,2
智能传感器,sensor,0.95,2
空调面板,module,0.95,2
电源供！,circuit_function_name,0.95,2
DA(1,circuit_function_name,0.95,2
口BCM2,controller,0.95,2
）要风开关,switch,0.95,2
保险丝盒贴标签，其零件号应清晰：粘贴牢固,fuse,0.95,2
60A(4个)、175A1个),fuse,0.95,3
共5个备用大容量熔断器重壹放置在此,fuse,0.95,3
F7 691,fuse,0.95,3
F1 304,fuse,0.95,3
4压御装电机,motor,0.95,3
F3 15,fuse,0.95,3
F6 175A,fuse,0.95,3
ABS,controller,0.95,3
10A片式熔断器采用3722012-50,fuse,0.95,3
20A片式熔断器采用3722014-50,fuse,0.95,3
继电卷插座应符合371030-240、372210-671继电器安装夏求,relay,0.95,3
点火开关费电,switch,0.95,3
盛盘体断器金总盛（式样图）,fuse,0.95,3
H33囊动机ECU,controller,0.95,3
L928各用维电暴控制-,relay,0.95,3
B3联素管降加热,circuit_function_name,0.95,3
3奥歌宝端断暴金餐电,circuit_function_name,0.95,3
12 .304,circuit_function_name,0.95,3
3各用继电暴输图,relay,0.95,3
L328 推例,circuit_function_name,0.95,3
2H5,circuit_function_name,0.95,3
LBA,circuit_function_name,0.95,3
L82A 控例-,circuit_function_name,0.95,3
电线束端适配插接器型号,connector,0.95,3
1002023/69,connector,0.95,3
1202023/69,connector,0.95,3
120023/69,connector,0.95,3
080023/69,connector,0.95,3
140023/69,connector,0.95,3
1203023/69,connector,0.95,3
0I0302094,connector,0.95,3
线束侧插接件型号,connector,0.95,2
X36A,connector,0.95,8
驾驶室熔断器盒,fuse,0.95,8
驾驰室熔断器盒,fuse,0.95,8
驾驶室熔断器食,fuse,0.95,8
秋室熔断婴盒,fuse,0.95,8
学室熔断,fuse,0.95,8
驾驶室熔断器盒总成（式样图）,fuse,0.95,2
多动能方向量开关[],switch,0.95,6
向盘开关C5,switch,0.95,8
尿素品质传感器,sensor,0.95,9
EBS首轴模块,controller,0.95,10
ABS传感器用电缆线长度为1000,controller,0.95,12
仪表板电线束与左车身电线東总威插接,connector,0.95,13
假表板电线束与右底盘电线束对接插接器,connector,0.95,14
右底盘电线束与发动机电线束总成插接器,connector,0.95,14
仪表板电线束与右底盘电线束对接活接器,connector,0.95,14
组合仪表,instrument,0.95,14
